Claim_ID,Claim_Type,Rejection_Reason,Rejection_Letter_Text,Policy_Clause,Plain_English_Explanation,Appeal_Suggestion
LFE-U0GS2CF1,Life,Material misrepresentation,"We have found a material discrepancy in the Life Assured's stated occupation. High-risk occupational duties were concealed, invalidating the risk assessment and the claim.","Clause 6.2: Any misstatement of age, occupation, or income in the proposal form renders the contract voidable at the insurer's discretion.","The policyholder gave us false information about their job or age, which changes the whole agreement.",Provide official employment records or a birth certificate proving the original information given was actually correct.
HLT-RGEA2WM9,Health,Cosmetic procedure exclusion,"The claim for Rhinoplasty has been categorized as a cosmetic enhancement. Under the policy terms, purely aesthetic procedures are not indemnified.","Section 4.5: Expenses for cosmetic or plastic surgery, unless necessitated by an accident or burns, are excluded.",We don't cover surgeries or treatments that are done just to improve appearance.,"If the surgery was medically necessary (e.g., due to an accident), submit a detailed doctor's certificate explaining why."
HLT-9BPOE7MS,Health,Treatment outside network,"Your policy restricts full coverage to our network hospitals. Since you were treated at a non-network facility without a prior emergency authorization, the claim is denied.",Section 3.1: Cashless facilities and full reimbursements are only applicable at network hospitals. Non-network hospital claims are capped or excluded.,"You went to a hospital that is not on our approved list, and your specific plan doesn't cover out-of-network care.","If it was a life-threatening emergency, submit an emergency certificate from the attending doctor to get an exception."
LFE-F07IARK9,Life,Incorrect nominee information,The claimant details do not match the nominee information recorded in our policy schedule. We cannot process the payout to an unverified individual.,Clause 9.3: Claim benefits are strictly payable to the nominee registered in our records at the time of death.,The person claiming the money is not the person listed as the beneficiary on the policy.,Provide a succession certificate from a civil court legally establishing your right to receive the policy benefits.
HLT-JOG8MSEY,Health,Cosmetic procedure exclusion,"The claim for Stem Cell Therapy has been categorized as a cosmetic enhancement. Under the policy terms, purely aesthetic procedures are not indemnified.","Section 4.5: Expenses for cosmetic or plastic surgery, unless necessitated by an accident or burns, are excluded.",We don't cover surgeries or treatments that are done just to improve appearance.,"If the surgery was medically necessary (e.g., due to an accident), submit a detailed doctor's certificate explaining why."
LFE-TDAF59O8,Life,Non-disclosure of medical history,"During claim assessment, it was discovered that the Life Assured had a documented history of severe diabetes which was not disclosed in the proposal form. The claim is repudiated.",Section 45: The policy can be called into question within three years if there is suppression of material facts related to the health of the insured.,"The policyholder hid a major pre-existing illness when buying the policy. Because of this, the payout is denied.","If the condition was diagnosed AFTER the policy was purchased, submit medical records showing the exact date of first diagnosis."
HLT-7V1GJUBI,Health,Waiting period not completed,"We regret to inform you that your claim has been rejected. The treatment falls under the 24-month waiting period clause, and your policy has only been active for 17 months.",Section 3.2: A mandatory waiting period of 24 months applies to specific ailments including joint replacement and cardiovascular procedures.,You haven't had the policy long enough to cover this specific treatment. There is a waiting period you must pass first.,"Review your policy start date. If you believe the waiting period has passed, provide your original policy documents."
MTR-CSG5WWVG,Motor,Unauthorized driver,The claim is rejected as the vehicle was being operated by an individual not listed as an authorized driver in your policy schedule.,Section II - Liability to Third Parties: Coverage applies only if the vehicle is driven by the policyholder or a named authorized driver.,The person driving the car is not covered under your specific insurance policy.,"Check your policy schedule. If the driver was actually listed, send a copy of the schedule highlighting their name."
LFE-86MRQU8X,Life,Missing beneficiary documents,Your claim is held and subsequently closed because you failed to submit the required legal heir certificate and your valid KYC documents despite multiple reminders.,Clause 9.1: The claimant must establish their identity and relationship with the Life Assured by submitting valid KYC and legal heir certificates.,We couldn't pay the claim because you didn't provide the documents needed to prove you are the rightful heir.,Obtain a legal heir certificate from the court or local authority and upload it along with your ID proof.
MTR-S5EV6RUC,Motor,Invalid driving license,"During claim assessment for your Ford F-150, it was found that the driver at the time of the accident did not possess a valid driving license. Hence, the claim is repudiated.",General Exception 1(a): The company shall not be liable in respect of any claim if the vehicle is driven by any person without a valid and effective driving license.,The person driving your car when the accident happened didn't have a valid driver's license.,"If the license was renewed or valid but the wrong document was submitted, upload the correct, valid driver's license."
HLT-OD2C45E1,Health,Missing medical records,"We are unable to process your claim due to missing documentation. Specifically, the indoor case papers and exact diagnosis reports are absent from your submission.","Section 6.1: All claims must be accompanied by complete medical records, including admission notes, discharge summary, and test reports.",We cannot approve the claim because the hospital didn't send us all your medical records and test results.,"Obtain the missing reports (e.g., discharge summary, lab results) from your hospital and upload them to the claims portal."
MTR-25IEVUXF,Motor,Missing FIR,"Since your claim involves theft/third-party malicious damage, a First Information Report (FIR) from the police is mandatory. As it was not provided, the claim is closed.","Condition 2: In case of theft or criminal act causing damage, the insured shall give immediate notice to the Police and cooperate with the Company.","For claims involving theft or vandalism, we need an official police report. You didn't submit one.",File a report with the police immediately and submit the stamped FIR copy to reopen the claim.
HLT-212CT09N,Health,Policy lapse,Your claim is rejected because your policy had lapsed at the time of hospitalization. The renewal premium was not received within the 30-day grace period.,Section 1.2: Coverage is contingent upon timely payment of renewal premiums. A grace period of 30 days is provided.,Your insurance policy was not active when you were treated because the premium payment was missed.,"If you made the payment and it wasn't recorded, submit your bank statement or payment receipt."
MTR-QMM3AUXP,Motor,Policy lapse,"Your motor insurance policy had expired on 13 days prior to the accident date. Therefore, no coverage was in force.",General Condition: The policy is void if the premium is not paid in full before the inception of the risk.,Your auto insurance expired before the accident happened because you didn't pay the renewal.,"If you paid the premium on time, submit your bank transaction ID and receipt to prove the policy was active."
HLT-H7NA2PNZ,Health,Non-covered procedure,"The expenses claimed for Dental Implants fall under elective/OPD treatments, which are explicitly not covered under your current policy plan.",Section 2.4: Out-patient Department (OPD) expenses and specific elective procedures are not covered.,Your specific insurance plan does not include coverage for Dental Implants.,"Check your policy brochure. If you purchased an add-on that covers this, submit the add-on endorsement document."
MTR-2OEHTJ32,Motor,Commercial use of personal vehicle,"Our investigation revealed that your private vehicle (Honda Civic) was being used for commercial ride-sharing purposes at the time of the loss, violating the usage limitation.","Limitation as to Use: The policy covers use of the vehicle for social, domestic and pleasure purposes only. Hire or reward usage is excluded.","You have a personal auto policy, but you were using the car for business or as a taxi, which requires a different policy.","If the car was NOT being used for business, provide evidence like a logbook or a statement proving personal use at the time."
LFE-BF244MEX,Life,Coverage exclusion,"The claim investigation notes that the death occurred while the Life Assured was engaged in an unapproved hazardous sport (paragliding), which is an explicit exclusion.",Clause 12: Death arising directly or indirectly from participation in hazardous sports or illegal activities is excluded from coverage.,"The policy does not cover death caused by participating in extreme, dangerous sports.","If the death was unrelated to the hazardous activity, provide the detailed forensic and police report clarifying the exact cause."
MTR-DYSXYFOI,Motor,Coverage exclusion,"The damages claimed for the Ford F-150's engine are due to mechanical breakdown and wear-and-tear, not an accidental external means. This is explicitly excluded.","Section I - Loss of or Damage to the Vehicle: Consequential loss, depreciation, wear and tear, and mechanical or electrical breakdown are not covered.","Insurance covers accidents, not regular wear and tear or mechanical breakdowns (like a failing engine).","If an accident directly caused the mechanical failure, get a technical report from a certified mechanic explaining the connection."
HLT-BYEY3XRJ,Health,Experimental treatment,Your claim for Dental Implants is denied as it is classified as an experimental/investigational treatment not recognized by the standard medical board.,Section 5.5: Unproven or experimental medical treatments are strictly excluded from coverage.,The medical procedure (Dental Implants) you received is considered experimental and isn't covered by standard insurance.,"Provide a letter from your doctor and peer-reviewed medical journals proving the treatment is now standard protocol, not experimental."
HLT-HYLR6SK9,Health,Treatment outside network,"Your policy restricts full coverage to our network hospitals. Since you were treated at a non-network facility without a prior emergency authorization, the claim is denied.",Section 3.1: Cashless facilities and full reimbursements are only applicable at network hospitals. Non-network hospital claims are capped or excluded.,"You went to a hospital that is not on our approved list, and your specific plan doesn't cover out-of-network care.","If it was a life-threatening emergency, submit an emergency certificate from the attending doctor to get an exception."
LFE-N3UZDUIW,Life,Suicide exclusion period,"As the unfortunate demise occurred within 12 months of policy issuance and the cause of death is recorded as suicide, the death benefit is not payable.","Clause 8: If the Life Assured commits suicide within 12 months from the date of inception of the policy, the nominee is only entitled to 80% of premiums paid, not the sum assured.",Life insurance does not pay out the full amount if the policyholder commits suicide within the first year of the policy.,"If the police conclude it was an accident and not suicide, submit the final police investigation report and autopsy findings."
LFE-V6ISXAKN,Life,Non-disclosure of medical history,"During claim assessment, it was discovered that the Life Assured had a documented history of severe diabetes which was not disclosed in the proposal form. The claim is repudiated.",Section 45: The policy can be called into question within three years if there is suppression of material facts related to the health of the insured.,"The policyholder hid a major pre-existing illness when buying the policy. Because of this, the payout is denied.","If the condition was diagnosed AFTER the policy was purchased, submit medical records showing the exact date of first diagnosis."
MTR-ISIOB34B,Motor,Fraud suspicion,Forensic analysis of the Ford F-150 damage profile does not match the accident description provided. The claim is denied due to suspected misrepresentation of facts.,"Condition 8: If any claim is in any respect fraudulent, or if any false declaration is made, all benefits under this policy shall be forfeited.","The damage to your car doesn't match the story of how the accident happened, so we suspect the claim is false.","Provide CCTV footage of the accident, dashcam video, or eyewitness statements to corroborate your version of events."
MTR-YN51KR1U,Motor,Invalid driving license,"During claim assessment for your Honda Civic, it was found that the driver at the time of the accident did not possess a valid driving license. Hence, the claim is repudiated.",General Exception 1(a): The company shall not be liable in respect of any claim if the vehicle is driven by any person without a valid and effective driving license.,The person driving your car when the accident happened didn't have a valid driver's license.,"If the license was renewed or valid but the wrong document was submitted, upload the correct, valid driver's license."
MTR-MBW7VQ8F,Motor,Policy lapse,"Your motor insurance policy had expired on 4 days prior to the accident date. Therefore, no coverage was in force.",General Condition: The policy is void if the premium is not paid in full before the inception of the risk.,Your auto insurance expired before the accident happened because you didn't pay the renewal.,"If you paid the premium on time, submit your bank transaction ID and receipt to prove the policy was active."
LFE-UMU20FVJ,Life,Material misrepresentation,"We have found a material discrepancy in the Life Assured's stated occupation. High-risk occupational duties were concealed, invalidating the risk assessment and the claim.","Clause 6.2: Any misstatement of age, occupation, or income in the proposal form renders the contract voidable at the insurer's discretion.","The policyholder gave us false information about their job or age, which changes the whole agreement.",Provide official employment records or a birth certificate proving the original information given was actually correct.
MTR-ESFRI81S,Motor,Coverage exclusion,"The damages claimed for the Honda Civic's engine are due to mechanical breakdown and wear-and-tear, not an accidental external means. This is explicitly excluded.","Section I - Loss of or Damage to the Vehicle: Consequential loss, depreciation, wear and tear, and mechanical or electrical breakdown are not covered.","Insurance covers accidents, not regular wear and tear or mechanical breakdowns (like a failing engine).","If an accident directly caused the mechanical failure, get a technical report from a certified mechanic explaining the connection."
LFE-4UZ59GZT,Life,Identity verification failure,"We regret to inform you that the physical records do not match the biometric/KYC identity of the Life Assured, raising identity fraud concerns. Claim denied.",Clause 10: The insurer reserves the right to verify the identity of the Life Assured and the Claimant before any benefit payout.,The identity documents provided do not match the person who actually bought the policy.,Submit official government identity documents (Aadhaar/PAN/Passport) for both the deceased and the claimant for re-verification.
MTR-W1N66TNC,Motor,Unauthorized driver,The claim is rejected as the vehicle was being operated by an individual not listed as an authorized driver in your policy schedule.,Section II - Liability to Third Parties: Coverage applies only if the vehicle is driven by the policyholder or a named authorized driver.,The person driving the car is not covered under your specific insurance policy.,"Check your policy schedule. If the driver was actually listed, send a copy of the schedule highlighting their name."
HLT-317E4FN4,Health,Missing medical records,"We are unable to process your claim due to missing documentation. Specifically, the indoor case papers and exact diagnosis reports are absent from your submission.","Section 6.1: All claims must be accompanied by complete medical records, including admission notes, discharge summary, and test reports.",We cannot approve the claim because the hospital didn't send us all your medical records and test results.,"Obtain the missing reports (e.g., discharge summary, lab results) from your hospital and upload them to the claims portal."
HLT-3AOKEQGM,Health,Experimental treatment,Your claim for Bariatric Surgery is denied as it is classified as an experimental/investigational treatment not recognized by the standard medical board.,Section 5.5: Unproven or experimental medical treatments are strictly excluded from coverage.,The medical procedure (Bariatric Surgery) you received is considered experimental and isn't covered by standard insurance.,"Provide a letter from your doctor and peer-reviewed medical journals proving the treatment is now standard protocol, not experimental."
LFE-8VXQ1B7B,Life,Suicide exclusion period,"As the unfortunate demise occurred within 12 months of policy issuance and the cause of death is recorded as suicide, the death benefit is not payable.","Clause 8: If the Life Assured commits suicide within 12 months from the date of inception of the policy, the nominee is only entitled to 80% of premiums paid, not the sum assured.",Life insurance does not pay out the full amount if the policyholder commits suicide within the first year of the policy.,"If the police conclude it was an accident and not suicide, submit the final police investigation report and autopsy findings."
HLT-NRUD76W9,Health,Missing medical records,"We are unable to process your claim due to missing documentation. Specifically, the indoor case papers and exact diagnosis reports are absent from your submission.","Section 6.1: All claims must be accompanied by complete medical records, including admission notes, discharge summary, and test reports.",We cannot approve the claim because the hospital didn't send us all your medical records and test results.,"Obtain the missing reports (e.g., discharge summary, lab results) from your hospital and upload them to the claims portal."
MTR-ZKRROBAJ,Motor,Invalid driving license,"During claim assessment for your Hyundai Creta, it was found that the driver at the time of the accident did not possess a valid driving license. Hence, the claim is repudiated.",General Exception 1(a): The company shall not be liable in respect of any claim if the vehicle is driven by any person without a valid and effective driving license.,The person driving your car when the accident happened didn't have a valid driver's license.,"If the license was renewed or valid but the wrong document was submitted, upload the correct, valid driver's license."
MTR-R33G39XI,Motor,Commercial use of personal vehicle,"Our investigation revealed that your private vehicle (Ford F-150) was being used for commercial ride-sharing purposes at the time of the loss, violating the usage limitation.","Limitation as to Use: The policy covers use of the vehicle for social, domestic and pleasure purposes only. Hire or reward usage is excluded.","You have a personal auto policy, but you were using the car for business or as a taxi, which requires a different policy.","If the car was NOT being used for business, provide evidence like a logbook or a statement proving personal use at the time."
LFE-MO170X68,Life,Incorrect nominee information,The claimant details do not match the nominee information recorded in our policy schedule. We cannot process the payout to an unverified individual.,Clause 9.3: Claim benefits are strictly payable to the nominee registered in our records at the time of death.,The person claiming the money is not the person listed as the beneficiary on the policy.,Provide a succession certificate from a civil court legally establishing your right to receive the policy benefits.
HLT-JQ2SWJ17,Health,Cosmetic procedure exclusion,"The claim for Laser Eye Surgery has been categorized as a cosmetic enhancement. Under the policy terms, purely aesthetic procedures are not indemnified.","Section 4.5: Expenses for cosmetic or plastic surgery, unless necessitated by an accident or burns, are excluded.",We don't cover surgeries or treatments that are done just to improve appearance.,"If the surgery was medically necessary (e.g., due to an accident), submit a detailed doctor's certificate explaining why."
LFE-3Y1YBHPA,Life,Identity verification failure,"We regret to inform you that the physical records do not match the biometric/KYC identity of the Life Assured, raising identity fraud concerns. Claim denied.",Clause 10: The insurer reserves the right to verify the identity of the Life Assured and the Claimant before any benefit payout.,The identity documents provided do not match the person who actually bought the policy.,Submit official government identity documents (Aadhaar/PAN/Passport) for both the deceased and the claimant for re-verification.
HLT-FXKEJ49L,Health,Experimental treatment,Your claim for Stem Cell Therapy is denied as it is classified as an experimental/investigational treatment not recognized by the standard medical board.,Section 5.5: Unproven or experimental medical treatments are strictly excluded from coverage.,The medical procedure (Stem Cell Therapy) you received is considered experimental and isn't covered by standard insurance.,"Provide a letter from your doctor and peer-reviewed medical journals proving the treatment is now standard protocol, not experimental."
HLT-ZD3H750X,Health,Missing medical records,"We are unable to process your claim due to missing documentation. Specifically, the indoor case papers and exact diagnosis reports are absent from your submission.","Section 6.1: All claims must be accompanied by complete medical records, including admission notes, discharge summary, and test reports.",We cannot approve the claim because the hospital didn't send us all your medical records and test results.,"Obtain the missing reports (e.g., discharge summary, lab results) from your hospital and upload them to the claims portal."
HLT-AFN7BMKB,Health,Missing medical records,"We are unable to process your claim due to missing documentation. Specifically, the indoor case papers and exact diagnosis reports are absent from your submission.","Section 6.1: All claims must be accompanied by complete medical records, including admission notes, discharge summary, and test reports.",We cannot approve the claim because the hospital didn't send us all your medical records and test results.,"Obtain the missing reports (e.g., discharge summary, lab results) from your hospital and upload them to the claims portal."
MTR-FFA2NE09,Motor,Invalid driving license,"During claim assessment for your Hyundai Creta, it was found that the driver at the time of the accident did not possess a valid driving license. Hence, the claim is repudiated.",General Exception 1(a): The company shall not be liable in respect of any claim if the vehicle is driven by any person without a valid and effective driving license.,The person driving your car when the accident happened didn't have a valid driver's license.,"If the license was renewed or valid but the wrong document was submitted, upload the correct, valid driver's license."
HLT-ZMI9T2O7,Health,Cosmetic procedure exclusion,"The claim for Rhinoplasty has been categorized as a cosmetic enhancement. Under the policy terms, purely aesthetic procedures are not indemnified.","Section 4.5: Expenses for cosmetic or plastic surgery, unless necessitated by an accident or burns, are excluded.",We don't cover surgeries or treatments that are done just to improve appearance.,"If the surgery was medically necessary (e.g., due to an accident), submit a detailed doctor's certificate explaining why."
MTR-03U2MOKQ,Motor,Drunk driving,"The police/medical report indicates the driver was under the influence of alcohol during the incident. As per policy conditions, this invalidates your claim.",General Exception 1(c): Any accidental loss or damage suffered whilst the driver is under the influence of intoxicating liquor or drugs is excluded.,Your claim was denied because the driver was under the influence of alcohol or drugs at the time of the accident.,"If the police report is incorrect, provide a court order or corrected police report proving no intoxication was involved."
HLT-TIT6212G,Health,Fraud suspicion,"Following an investigation by our field team, discrepancies were found in the hospital admission records. Consequently, the claim is repudiated on grounds of misrepresentation.","Section 8.3: Any fraudulent act, misrepresentation, or falsified documentation will result in immediate claim rejection and policy cancellation.","We found conflicting or fake information in the documents submitted, so the claim was denied.",Provide a sworn affidavit and verified documents from the hospital administrator confirming your admission and treatment.
HLT-V77RAJ6O,Health,Pre-existing disease,"Dear Policyholder, upon reviewing your claim for Osteoarthritis treatment, we found that this condition existed prior to your policy start date. As per the policy terms, claims related to pre-existing conditions are excluded.",Section 4.1: Exclusion of Pre-Existing Conditions declared or undeclared prior to policy inception.,Your claim was denied because our records indicate you had Osteoarthritis before buying this insurance policy.,Submit past medical records proving this condition was diagnosed after the policy start date.
LFE-AGGM7SRF,Life,Fraudulent documentation,Our verification with the issuing municipal authority confirmed that the submitted death certificate is not authentic. The claim is outrightly rejected.,Clause 11: Submission of forged or manipulated death certificates or medical records will result in absolute repudiation of the claim.,The death certificate or other documents submitted were found to be fake.,"Obtain a fresh, verified death certificate directly from the municipal corporation and submit it with a notarized affidavit."
MTR-3IH0BQIF,Motor,Vehicle modification violation,"You installed an unauthorized CNG kit/alloy wheels without informing the insurer, altering the vehicle's risk profile. The claim is thus rejected.",General Exception: The company shall not be liable if the vehicle has been modified or altered without prior intimation and endorsement.,"You modified your car (like adding a gas kit or changing the engine) without telling us, which voids your insurance.","If the modification was endorsed on your policy earlier, provide the endorsement letter or updated RC book."
LFE-A5HSHAN7,Life,Premium default,"The life assured stopped paying premiums in the first year. Since the policy did not acquire any paid-up value, no death benefit is payable.","Clause 3.4: In case of premium default, the policy acquires a paid-up value only if premiums have been paid for at least two consecutive years.","The policy was active for less than two years before payments stopped, meaning it holds no payout value.","If there was a system error preventing payment, contact the grievance department with proof of attempted payments."
MTR-4PP4FEDY,Motor,Fraud suspicion,Forensic analysis of the Maruti Swift damage profile does not match the accident description provided. The claim is denied due to suspected misrepresentation of facts.,"Condition 8: If any claim is in any respect fraudulent, or if any false declaration is made, all benefits under this policy shall be forfeited.","The damage to your car doesn't match the story of how the accident happened, so we suspect the claim is false.","Provide CCTV footage of the accident, dashcam video, or eyewitness statements to corroborate your version of events."
HLT-S9VE9FQN,Health,Missing medical records,"We are unable to process your claim due to missing documentation. Specifically, the indoor case papers and exact diagnosis reports are absent from your submission.","Section 6.1: All claims must be accompanied by complete medical records, including admission notes, discharge summary, and test reports.",We cannot approve the claim because the hospital didn't send us all your medical records and test results.,"Obtain the missing reports (e.g., discharge summary, lab results) from your hospital and upload them to the claims portal."
MTR-D0TC6IA9,Motor,Fraud suspicion,Forensic analysis of the Honda Civic damage profile does not match the accident description provided. The claim is denied due to suspected misrepresentation of facts.,"Condition 8: If any claim is in any respect fraudulent, or if any false declaration is made, all benefits under this policy shall be forfeited.","The damage to your car doesn't match the story of how the accident happened, so we suspect the claim is false.","Provide CCTV footage of the accident, dashcam video, or eyewitness statements to corroborate your version of events."
LFE-OTPFJV50,Life,Suicide exclusion period,"As the unfortunate demise occurred within 12 months of policy issuance and the cause of death is recorded as suicide, the death benefit is not payable.","Clause 8: If the Life Assured commits suicide within 12 months from the date of inception of the policy, the nominee is only entitled to 80% of premiums paid, not the sum assured.",Life insurance does not pay out the full amount if the policyholder commits suicide within the first year of the policy.,"If the police conclude it was an accident and not suicide, submit the final police investigation report and autopsy findings."
MTR-9V5R51UY,Motor,Invalid driving license,"During claim assessment for your Honda Civic, it was found that the driver at the time of the accident did not possess a valid driving license. Hence, the claim is repudiated.",General Exception 1(a): The company shall not be liable in respect of any claim if the vehicle is driven by any person without a valid and effective driving license.,The person driving your car when the accident happened didn't have a valid driver's license.,"If the license was renewed or valid but the wrong document was submitted, upload the correct, valid driver's license."
HLT-MMS3NJI5,Health,Missing medical records,"We are unable to process your claim due to missing documentation. Specifically, the indoor case papers and exact diagnosis reports are absent from your submission.","Section 6.1: All claims must be accompanied by complete medical records, including admission notes, discharge summary, and test reports.",We cannot approve the claim because the hospital didn't send us all your medical records and test results.,"Obtain the missing reports (e.g., discharge summary, lab results) from your hospital and upload them to the claims portal."
LFE-I8IHZDEO,Life,Policy lapse,The claim cannot be processed as the policy was in a lapsed state at the time of the Life Assured's demise due to non-payment of premiums.,"Clause 3.1: If the due premium is not paid within the grace period, the policy shall lapse and all benefits will cease.",The life insurance policy was cancelled before the person passed away because the premium payments stopped.,"If the premium was deducted from the bank account via auto-debit, submit the bank statement showing the successful deduction."
MTR-3CACK18N,Motor,Coverage exclusion,"The damages claimed for the Maruti Swift's engine are due to mechanical breakdown and wear-and-tear, not an accidental external means. This is explicitly excluded.","Section I - Loss of or Damage to the Vehicle: Consequential loss, depreciation, wear and tear, and mechanical or electrical breakdown are not covered.","Insurance covers accidents, not regular wear and tear or mechanical breakdowns (like a failing engine).","If an accident directly caused the mechanical failure, get a technical report from a certified mechanic explaining the connection."
MTR-LWA89NOW,Motor,Coverage exclusion,"The damages claimed for the Ford F-150's engine are due to mechanical breakdown and wear-and-tear, not an accidental external means. This is explicitly excluded.","Section I - Loss of or Damage to the Vehicle: Consequential loss, depreciation, wear and tear, and mechanical or electrical breakdown are not covered.","Insurance covers accidents, not regular wear and tear or mechanical breakdowns (like a failing engine).","If an accident directly caused the mechanical failure, get a technical report from a certified mechanic explaining the connection."
HLT-8YC69KWC,Health,Treatment outside network,"Your policy restricts full coverage to our network hospitals. Since you were treated at a non-network facility without a prior emergency authorization, the claim is denied.",Section 3.1: Cashless facilities and full reimbursements are only applicable at network hospitals. Non-network hospital claims are capped or excluded.,"You went to a hospital that is not on our approved list, and your specific plan doesn't cover out-of-network care.","If it was a life-threatening emergency, submit an emergency certificate from the attending doctor to get an exception."
HLT-JFQDAKFK,Health,Fraud suspicion,"Following an investigation by our field team, discrepancies were found in the hospital admission records. Consequently, the claim is repudiated on grounds of misrepresentation.","Section 8.3: Any fraudulent act, misrepresentation, or falsified documentation will result in immediate claim rejection and policy cancellation.","We found conflicting or fake information in the documents submitted, so the claim was denied.",Provide a sworn affidavit and verified documents from the hospital administrator confirming your admission and treatment.
MTR-1OF68EYS,Motor,Missing FIR,"Since your claim involves theft/third-party malicious damage, a First Information Report (FIR) from the police is mandatory. As it was not provided, the claim is closed.","Condition 2: In case of theft or criminal act causing damage, the insured shall give immediate notice to the Police and cooperate with the Company.","For claims involving theft or vandalism, we need an official police report. You didn't submit one.",File a report with the police immediately and submit the stamped FIR copy to reopen the claim.
MTR-56G1MYDZ,Motor,Unauthorized driver,The claim is rejected as the vehicle was being operated by an individual not listed as an authorized driver in your policy schedule.,Section II - Liability to Third Parties: Coverage applies only if the vehicle is driven by the policyholder or a named authorized driver.,The person driving the car is not covered under your specific insurance policy.,"Check your policy schedule. If the driver was actually listed, send a copy of the schedule highlighting their name."
LFE-FO43R7ZU,Life,Fraudulent documentation,Our verification with the issuing municipal authority confirmed that the submitted death certificate is not authentic. The claim is outrightly rejected.,Clause 11: Submission of forged or manipulated death certificates or medical records will result in absolute repudiation of the claim.,The death certificate or other documents submitted were found to be fake.,"Obtain a fresh, verified death certificate directly from the municipal corporation and submit it with a notarized affidavit."
HLT-JRS7XBYA,Health,Fraud suspicion,"Following an investigation by our field team, discrepancies were found in the hospital admission records. Consequently, the claim is repudiated on grounds of misrepresentation.","Section 8.3: Any fraudulent act, misrepresentation, or falsified documentation will result in immediate claim rejection and policy cancellation.","We found conflicting or fake information in the documents submitted, so the claim was denied.",Provide a sworn affidavit and verified documents from the hospital administrator confirming your admission and treatment.
HLT-EKOK1HYU,Health,Cosmetic procedure exclusion,"The claim for Bariatric Surgery has been categorized as a cosmetic enhancement. Under the policy terms, purely aesthetic procedures are not indemnified.","Section 4.5: Expenses for cosmetic or plastic surgery, unless necessitated by an accident or burns, are excluded.",We don't cover surgeries or treatments that are done just to improve appearance.,"If the surgery was medically necessary (e.g., due to an accident), submit a detailed doctor's certificate explaining why."
LFE-446NCXNT,Life,Fraudulent documentation,Our verification with the issuing municipal authority confirmed that the submitted death certificate is not authentic. The claim is outrightly rejected.,Clause 11: Submission of forged or manipulated death certificates or medical records will result in absolute repudiation of the claim.,The death certificate or other documents submitted were found to be fake.,"Obtain a fresh, verified death certificate directly from the municipal corporation and submit it with a notarized affidavit."
HLT-ZQTLWRFF,Health,Waiting period not completed,"We regret to inform you that your claim has been rejected. The treatment falls under the 24-month waiting period clause, and your policy has only been active for 23 months.",Section 3.2: A mandatory waiting period of 24 months applies to specific ailments including joint replacement and cardiovascular procedures.,You haven't had the policy long enough to cover this specific treatment. There is a waiting period you must pass first.,"Review your policy start date. If you believe the waiting period has passed, provide your original policy documents."
HLT-8CDHCBGC,Health,Treatment outside network,"Your policy restricts full coverage to our network hospitals. Since you were treated at a non-network facility without a prior emergency authorization, the claim is denied.",Section 3.1: Cashless facilities and full reimbursements are only applicable at network hospitals. Non-network hospital claims are capped or excluded.,"You went to a hospital that is not on our approved list, and your specific plan doesn't cover out-of-network care.","If it was a life-threatening emergency, submit an emergency certificate from the attending doctor to get an exception."
MTR-0PVZPEYC,Motor,Missing FIR,"Since your claim involves theft/third-party malicious damage, a First Information Report (FIR) from the police is mandatory. As it was not provided, the claim is closed.","Condition 2: In case of theft or criminal act causing damage, the insured shall give immediate notice to the Police and cooperate with the Company.","For claims involving theft or vandalism, we need an official police report. You didn't submit one.",File a report with the police immediately and submit the stamped FIR copy to reopen the claim.
MTR-Y5VNS7OE,Motor,Missing FIR,"Since your claim involves theft/third-party malicious damage, a First Information Report (FIR) from the police is mandatory. As it was not provided, the claim is closed.","Condition 2: In case of theft or criminal act causing damage, the insured shall give immediate notice to the Police and cooperate with the Company.","For claims involving theft or vandalism, we need an official police report. You didn't submit one.",File a report with the police immediately and submit the stamped FIR copy to reopen the claim.
LFE-OLRW9PV5,Life,Policy lapse,The claim cannot be processed as the policy was in a lapsed state at the time of the Life Assured's demise due to non-payment of premiums.,"Clause 3.1: If the due premium is not paid within the grace period, the policy shall lapse and all benefits will cease.",The life insurance policy was cancelled before the person passed away because the premium payments stopped.,"If the premium was deducted from the bank account via auto-debit, submit the bank statement showing the successful deduction."
LFE-FIS1Z28A,Life,Fraudulent documentation,Our verification with the issuing municipal authority confirmed that the submitted death certificate is not authentic. The claim is outrightly rejected.,Clause 11: Submission of forged or manipulated death certificates or medical records will result in absolute repudiation of the claim.,The death certificate or other documents submitted were found to be fake.,"Obtain a fresh, verified death certificate directly from the municipal corporation and submit it with a notarized affidavit."
LFE-8KL0UBK8,Life,Policy lapse,The claim cannot be processed as the policy was in a lapsed state at the time of the Life Assured's demise due to non-payment of premiums.,"Clause 3.1: If the due premium is not paid within the grace period, the policy shall lapse and all benefits will cease.",The life insurance policy was cancelled before the person passed away because the premium payments stopped.,"If the premium was deducted from the bank account via auto-debit, submit the bank statement showing the successful deduction."
HLT-8SA7IPAS,Health,Non-covered procedure,"The expenses claimed for Rhinoplasty fall under elective/OPD treatments, which are explicitly not covered under your current policy plan.",Section 2.4: Out-patient Department (OPD) expenses and specific elective procedures are not covered.,Your specific insurance plan does not include coverage for Rhinoplasty.,"Check your policy brochure. If you purchased an add-on that covers this, submit the add-on endorsement document."
